,Base,I,V,V&I,link_id,neighborhood,link_name
0,0.0,0.0,0.0,0.0,timestamp,,timestamp
1,0.0,-4.0606930963300045e-05,-2.436347794000063e-06,-4.277420869590006e-05,C102-S,Patterson Park,C102-S_velocity
2,0.0,2.0331151000003034e-07,-3.738470137600058e-06,-3.5396444505999755e-06,C105-S,Patterson Park,C105-S_velocity
3,0.0,-0.0015536788333433999,-1.4033246264299852e-05,-0.0015617215390111,C111-S,Baltimore Highlands,C111-S_velocity
4,0.0,-0.00032304430634789993,-2.2207894265000158e-06,-0.00032491080022259997,C113-S,Baltimore Highlands,C113-S_velocity
5,0.0,-2.610793566709999e-05,-4.360870001153712e-11,-2.61079250661e-05,C131-S,Fells Point,C131-S_velocity
6,0.0,4.56783603929999e-06,-2.1417131199975067e-08,4.582644864300025e-06,C141-S,Canton,C141-S_velocity
7,0.0,1.6955336378099992e-05,-1.8729349999082115e-10,1.6955714598899994e-05,C159-S,Upper Fells Point,C159-S_velocity
8,0.0,9.65766121599986e-07,-1.8240936570002204e-07,7.829643930999447e-07,C163-S,Upper Fells Point,C163-S_velocity
9,0.0,1.8215216150002655e-07,-1.9677999464270957e-12,1.8227246519997124e-07,C168-S,Canton,C168-S_velocity
10,0.0,3.463506227599977e-05,-1.8897856629003333e-06,3.342787185839965e-05,C182-S,Canton,C182-S_velocity
11,0.0,2.9583936781800018e-05,-3.0352193721000216e-06,2.6241947877400006e-05,C187-S,Canton,C187-S_velocity
12,0.0,-0.0015168926899117997,-5.7916011079999635e-06,-0.0015199045431202997,C190-S,Baltimore Highlands,C190-S_velocity
13,0.0,-0.00033250819635440005,-1.3115362278000526e-06,-0.00033285336720350006,C191-S,Patterson Park,C191-S_velocity
